sound,when to play,where sound goes
inGameMusic.wav,at start of game,background music in game
titleScreenMusic.wav,when on title screen,title screen
airPuff.wav,UI when hovering over button,UI
clickingSound_1.wav,UI when clicking on button,UI 
clickingSound_2.wav,UI when clicking on button,UI
closeMenu_1.wav,UI when closing the menu,UI
closeMenu_2.wav,UI when closing the menu,UI
openMenu_1.wav,UI when opening the menu,UI 
openMenu_2.wav,UI when opening the menu,UI
turnPage.wav,UI when clicking on button maybe,UI
quietBuzzing.wav,UI when hovering over button,UI
scratchingSound.wav,UI when hovering over button maybe,UI
narrativeWalkMusic.wav,when triggering narrative walks,narrative walks
evelynOrganisesStuff.wav,when evelyn moves things around in intro,intro and experiment
1_0_steamHiss.wav,background sound for experiment,intro and experiment
1_1_steamHiss.wav,background sound for experiment,intro and experiment
1_2_steamHiss.wav,background sound for experiment,intro and experiment
1_3_steamHiss.wav,background sound for experiment,intro and experiment
1_4_steamHiss.wav,background sound for experiment,intro and experiment
2_0_boilingWater.wav,background sound for experiment,intro and experiment
2_1_pouringWater.wav,when evelyn interacts with experiment,intro and experiment
2_2_sizzlingWater.wav,background sound for experiment,intro and experiment
2_3_waterBubbles.wav,when evelyn interacts with experiment,intro and experiment
experimentExplosion.wav,starts when experiment goes wrong,intro and experiment
fizzle.wav,background sound for experiment,intro and experiment
1_0_steamHiss.wav,gas being sucked in by safe stations,in game near safe stations
1_1_steamHiss.wav,gas being sucked in by safe stations,in game near safe stations
boxBeingPushed.wav,when player moves box,in game near boxes
creakingDoor.wav,when player opens or closes door,in game in front of of or past doors
drippingWater.wav,background sound for in game rooms,in game
fallingRocks.wav,background sound for walking past debris or obstacles,in game
gasLeak.wav,sound for gas in rooms,in game near gas
louderGasLeak.wav,in game near gas,in game near gas
pressurePlate.wav,when player activates pressure plate,in game near pressure plates
pullingLever.wav,when pulling lever,in game near levers
safeStations.wav,when interacting with safe stations,in game near safe stations
tickingClock.wav,when player comes across clock,in game near clock
woodenDebris.wav,background sound for walking past debris or obstacles,in game
buzzingLamp.wav,when going near lamps ,in game near lamps
moveBookshelf.wav,when moving bookshelf,in game moving bookshelf animation
doorClosing_1.wav,when closing door,in game
doorClosing_2.wav,when closing door,in game
doorClosing_3.wav,when closing door,in game
doorClosing_4.wav,when closing door,in game
reverseLever_1.wav,when resetting lever,in game near levers
reverseLever_2.wav,when resetting lever,in game near levers
stepOffPressurePlate.wav,when stepping off pressure plate,in game near pressure plates
evelynFootstepStone_1.wav,when evelyn walks on stone flooring,in game walking animation
evelynFootstepStone_2.wav,when evelyn walks on stone flooring,in game walking animation
evelynFootstepStone_3.wav,when evelyn walks on stone flooring,in game walking animation
evelynFootstepStone_4.wav,when evelyn walks on stone flooring,in game walking animation
evelynFootstepStone_5.wav,when evelyn walks on stone flooring,in game walking animation
evelynFootstepWood_1.wav,when evelyn walks on wooden flooring,in game walking animation
evelynFootstepWood_2.wav,when evelyn walks on wooden flooring,in game walking animation
evelynFootstepWood_3.wav,when evelyn walks on wooden flooring,in game walking animation
evelynFootstepWood_4.wav,when evelyn walks on wooden flooring,in game walking animation
evelynFootstepWood_5.wav,when evelyn walks on wooden flooring,in game walking animation
evelynFootstepWood_6.wav,when evelyn walks on wooden flooring,in game walking animation
victorFootstepStone_1.wav,when victor walks on stone flooring,in game walking animation
victorFootstepStone_2.wav,when victor walks on stone flooring,in game walking animation
TvictorFootstepStone_3.wav,when victor walks on stone flooring,in game walking animation
victorFootstepStone_4.wav,when victor walks on stone flooring,in game walking animation
victorFootstepStone_5.wav,when victor walks on stone flooring,in game walking animation
victorFootstepStone_6.wav,when victor walks on stone flooring,in game walking animation
victorFootstepStone_7.wav,when victor walks on stone flooring,in game walking animation
victorFootstepStone_8.wav,when victor walks on stone flooring,in game walking animation
victorFootstepWood_1.wav,when victor walks on wooden flooring,in game walking animation
TvictorFootstepWood_2.wav,when victor walks on wooden flooring,in game walking animation
victorFootstepWood_3.wav,when victor walks on wooden flooring,in game walking animation
victorFootstepWood_4.wav,when victor walks on wooden flooring,in game walking animation
victorFootstepWood_5.wav,when victor walks on wooden flooring,in game walking animation
victorFootstepWood_6.wav,when victor walks on wooden flooring,in game walking animation
victorFootstepWood_7.wav,when victor walks on wooden flooring,in game walking animation
victorFootstepWood_8.wav,when victor walks on wooden flooring,in game walking animation
clothesRustling.wav,when player crawls or jumps,in game
fastFootsteps.wav,when player runs,in game
footsteps.wav,when player walks,in game
slowFootsteps.wav,when player walks slowly,in game
slowHeartbeat.wav,when running out of oxygen,in game away from safe stations
steppingOnGlass.wav,when player steps on glass,in game near debris or obstacles
carriage.wav,when close to wall dividing outside and inside,in game near outside walls
owl.wav,when close to wall dividing outside and inside,in game near outside walls
wind.wav,when close to wall dividing outside and inside,in game near outside walls
twineAmbience.wav,when interacting with twine story,twine stories
twineWhitenoise.wav,when interacting with twine story,twine stories
longMusicBoxMusic.wav,when near music box plays 3 minute song,twine stories
musicBoxMusic.wav,when near music box plays 25 second clip,twine stories
shortMusicBoxMusic.wav,when near music box plays 11 second clip,twine stories
twineHint_1.wav,when near twine item,twine stories
twineHint_2.wav,when near twine item,twine stories
twineHint_3.wav,when near twine item,twine stories
twineHint_4.wav,when near twine item,twine stories
twineHint_5.wav,when near twine item,twine stories
twineHint_6.wav,when near twine item,twine stories
collectionSuccess.wav,when successfully picking up twine item,twine stories
itemGrab.wav,when picking up item ,twine stories
recordplayerMusic.wav,when near record player,twine stories
